Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Developer,Rating
Wii Sports,Wii,2006,Sports,Nintendo,82.53,76,8,Nintendo,E
Super Mario Bros.,NES,1985,Platform,Nintendo,40.24,,,,
Mario Kart Wii,Wii,2008,Racing,Nintendo,35.52,82,8.3,Nintendo,E
Wii Sports Resort,Wii,2009,Sports,Nintendo,32.77,80,8,Nintendo,E
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,31.37,,,,
Tetris,GB,1989,Puzzle,Nintendo,30.26,,,,
New Super Mario Bros.,DS,2006,Platform,Nintendo,29.8,89,8.5,Nintendo,E
Wii Play,Wii,2006,Misc,Nintendo,28.92,58,6.6,Nintendo,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.32,87,8.4,Nintendo,E
Duck Hunt,NES,1984,Shooter,Nintendo,28.31,,,,
Nintendogs,DS,2005,Simulation,Nintendo,24.67,,,,
Mario Kart DS,DS,2005,Racing,Nintendo,23.21,91,8.6,Nintendo,E
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,23.1,,,,
Wii Fit,Wii,2007,Sports,Nintendo,22.7,80,7.7,Nintendo,E
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.81,61,6.3,Good Science Studio,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,21.79,80,7.4,Nintendo,E
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97,8.2,Rockstar North,M
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81,95,9,Rockstar North,M
Super Mario World,SNES,1990,Platform,Nintendo,20.61,,,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20.15,77,7.9,Nintendo,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,18.25,,,,
Super Mario Land,GB,1989,Platform,Nintendo,18.14,,,,
Super Mario Bros. 3,NES,1988,Platform,Nintendo,17.28,,,,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97,8.1,Rockstar North,M
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15,95,8.7,Rockstar North,M
